gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,AvgMonthlySpend,ServiceCount,ContractValue
1,0,1,1,1,0,0,30.2,30.2,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,30.2,1,30.2
1,0,1,0,72,1,1,90.25,6369.45,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,88.46458333333334,7,6498.0
0,0,0,1,17,1,1,64.7,1093.1,1,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,64.3,3,1099.9
0,1,1,0,71,1,1,96.35,6766.95,0,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,True,False,False,95.30915492957746,5,6840.849999999999
1,1,1,0,2,1,1,95.5,181.65,0,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,90.825,4,191.0
0,0,1,1,27,1,0,66.15,1874.45,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,True,69.42407407407407,5,1786.0500000000002
1,0,0,0,1,1,0,20.2,20.2,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,20.2,1,20.2
1,1,0,0,1,1,0,45.25,45.25,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,45.25,1,45.25
0,0,1,1,72,1,0,99.9,7251.7,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,100.71805555555555,5,7192.8
1,0,0,0,5,1,1,69.7,316.9,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,63.379999999999995,1,348.5
0,0,0,0,46,1,1,74.8,3548.3,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,77.13695652173914,2,3440.7999999999997
1,0,0,0,34,1,1,106.35,3549.25,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,104.38970588235294,5,3615.8999999999996
0,0,0,0,11,1,1,97.85,1105.4,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,100.4909090909091,4,1076.35
1,0,1,1,10,1,0,49.55,475.7,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,47.57,2,495.5
0,0,1,1,70,1,1,69.2,4872.35,0,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,69.605,4,4844.0
0,0,1,1,17,1,0,20.75,418.25,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,24.602941176470587,1,352.75
0,0,0,0,63,1,1,79.85,4861.45,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,77.16587301587302,6,5030.549999999999
0,0,1,0,13,1,1,76.2,981.45,0,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,75.49615384615385,5,990.6
0,0,0,0,49,1,1,84.5,3906.7,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,79.72857142857143,2,4140.5
1,0,0,0,2,1,0,49.25,97.0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,48.5,2,98.5
0,0,0,0,2,1,1,80.65,144.15,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,72.075,2,161.3
1,0,0,0,52,1,1,79.75,4217.8,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,81.11153846153846,5,4147.0
0,0,1,1,69,1,1,64.15,4254.1,0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,61.6536231884058,4,4426.35
0,1,0,0,43,1,1,90.25,3838.75,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,89.27325581395348,3,3880.75
0,0,0,0,15,1,1,99.1,1426.4,1,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,95.09333333333333,5,1486.5
0,1,1,0,25,1,1,69.5,1752.65,0,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,70.10600000000001,4,1737.5
0,1,1,0,8,1,1,80.65,633.3,1,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,79.1625,2,645.2
0,1,1,1,60,1,1,74.85,4456.35,0,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,True,False,True,False,False,74.27250000000001,6,4491.0
1,1,0,0,18,1,1,95.45,1752.55,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,97.36388888888888,3,1718.1000000000001
0,0,1,1,63,1,1,99.65,6311.2,0,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,100.17777777777778,4,6277.950000000001
1,1,1,1,66,1,1,108.45,7076.35,0,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,107.21742424242424,6,7157.7
0,0,1,1,34,1,0,24.95,894.3,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,26.302941176470586,1,848.3
0,0,0,0,72,1,1,107.5,7853.7,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,109.07916666666667,5,7740.0
0,0,1,0,47,1,1,100.5,4707.1,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,100.15106382978725,4,4723.5
1,0,0,0,60,1,1,89.9,5450.7,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,90.845,3,5394.0
1,0,1,0,72,0,0,42.1,2962.0,0,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,41.138888888888886,3,3031.2000000000003
0,0,1,1,18,1,1,54.4,957.1,0,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,53.172222222222224,3,979.1999999999999
0,0,0,0,9,1,0,94.4,857.25,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,95.25,3,849.6
0,0,0,0,3,1,1,75.3,244.1,0,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,81.36666666666666,5,225.89999999999998
1,0,1,0,47,1,1,78.9,3650.35,0,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,77.66702127659575,2,3708.3
0,0,0,0,31,1,0,79.2,2497.2,0,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,80.55483870967741,6,2455.2000000000003
0,0,1,1,50,1,0,20.15,930.9,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,18.618,1,1007.4999999999999
1,0,0,0,10,1,1,79.85,887.35,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,88.735,3,798.5
1,0,0,0,1,1,0,49.05,49.05,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,49.05,2,49.05
0,0,1,1,52,1,1,20.4,1090.65,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,20.974038461538463,1,1060.8
1,1,1,1,64,1,1,111.6,7099.0,0,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,110.921875,6,7142.4
1,0,1,1,62,1,1,24.25,1424.6,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,22.97741935483871,1,1503.5
0,0,0,1,3,1,1,64.5,177.4,0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,59.13333333333333,4,193.5
0,1,0,0,56,1,0,110.5,6139.5,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,False,True,False,109.63392857142857,6,6188.0
0,0,0,0,46,1,0,55.65,2688.85,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,58.45326086956521,2,2559.9
0,0,1,1,8,1,0,54.65,482.25,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,60.28125,3,437.2
1,1,0,0,30,1,1,74.75,2111.3,0,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,70.37666666666668,5,2242.5
0,0,1,1,45,1,1,25.9,1216.6,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,27.035555555555554,1,1165.5
0,0,0,1,1,1,1,79.35,79.35,1,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,79.35,2,79.35
0,0,1,1,11,0,0,50.55,565.35,0,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,51.39545454545455,3,556.05
0,0,1,0,7,1,1,75.15,496.9,1,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,70.98571428571428,2,526.0500000000001
0,0,0,0,42,1,1,103.8,4327.5,0,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,103.03571428571429,6,4359.599999999999
0,0,1,0,49,1,1,20.15,973.35,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,19.864285714285714,1,987.3499999999999
1,0,0,0,9,1,1,99.3,918.75,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,102.08333333333333,4,893.6999999999999
0,0,1,0,35,1,1,62.15,2215.45,0,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,63.29857142857142,3,2175.25
0,0,1,1,48,1,0,20.65,1057.0,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,22.020833333333332,1,991.1999999999999
0,0,1,1,46,1,1,19.95,927.1,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,20.15434782608696,1,917.6999999999999
1,0,1,0,29,0,0,33.75,1009.25,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,34.80172413793103,1,978.75
1,0,1,1,30,1,0,82.05,2570.2,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,85.67333333333333,3,2461.5
1,1,0,0,1,1,0,74.7,74.7,0,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,74.7,2,74.7
1,0,1,1,66,1,1,84.0,5714.25,0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,86.57954545454545,6,5544.0
0,0,0,0,65,1,1,111.05,7107.0,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,109.33846153846154,6,7218.25
1,0,0,0,72,1,1,100.9,7459.05,0,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,103.59791666666666,5,7264.8
0,0,0,0,12,1,1,78.95,927.35,1,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,77.27916666666667,2,947.4000000000001
1,0,1,1,71,1,1,66.85,4748.7,0,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,66.8830985915493,4,4746.349999999999
1,0,0,0,5,1,0,21.05,113.85,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,22.77,1,105.25
1,0,0,0,52,1,0,21.0,1107.2,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,21.292307692307695,1,1092.0
0,1,1,0,25,1,1,98.5,2514.5,1,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,100.58,5,2462.5
1,0,0,0,1,1,0,20.2,20.2,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,20.2,1,20.2
0,0,1,1,1,1,0,19.45,19.45,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,19.45,1,19.45
1,0,0,0,38,1,0,95.0,3605.6,0,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,94.88421052631578,4,3610.0
0,1,1,0,66,0,0,45.55,3027.25,0,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,45.86742424242424,3,3006.2999999999997
1,0,1,0,68,1,1,110.0,7611.85,1,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,111.93897058823529,6,7480.0
1,0,0,0,5,0,0,24.3,100.2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,20.04,0,121.5
0,0,1,1,72,1,1,104.15,7303.05,0,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,101.43125,5,7498.8
0,0,0,0,32,0,0,30.15,927.65,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,28.9890625,1,964.8
1,0,0,0,43,1,0,94.35,3921.3,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,91.19302325581396,3,4057.0499999999997
1,0,1,1,72,1,0,19.4,1363.25,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,18.93402777777778,1,1396.8
1,0,1,0,55,1,1,96.75,5238.9,1,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,95.25272727272727,4,5321.25
0,0,0,0,52,1,0,57.95,3042.25,0,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,58.50480769230769,4,3013.4
0,0,0,0,43,1,1,91.65,3954.1,0,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,91.95581395348837,4,3940.9500000000003
0,1,1,0,37,1,1,76.5,2868.15,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,77.51756756756757,1,2830.5
0,0,1,1,64,0,1,54.6,3423.5,0,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,53.4921875,4,3494.4
1,0,1,1,3,1,0,89.85,248.4,0,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,82.8,4,269.54999999999995
0,0,0,0,36,0,0,31.05,1126.35,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,31.287499999999998,1,1117.8
0,0,1,1,10,1,1,100.25,1064.65,1,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,106.465,4,1002.5
0,0,0,0,41,1,0,20.65,835.15,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,20.36951219512195,1,846.65
1,0,1,1,27,1,1,85.2,2151.6,0,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,79.68888888888888,3,2300.4
0,0,1,1,56,1,1,99.8,5515.45,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,98.49017857142857,4,5588.8
0,0,0,0,6,1,0,20.7,112.75,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,18.791666666666668,1,124.19999999999999
1,0,0,0,3,1,1,74.4,229.55,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,76.51666666666667,1,223.20000000000002
0,0,1,1,7,1,0,50.7,350.35,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50.050000000000004,2,354.90000000000003
0,0,1,1,4,1,0,20.85,62.9,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,15.725,1,83.4
1,0,0,0,33,1,1,88.95,3027.65,0,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,91.7469696969697,4,2935.35
0,1,0,0,27,1,1,78.05,2135.5,1,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,79.0925925925926,2,2107.35
1,0,1,0,72,1,1,23.55,1723.95,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,23.94375,1,1695.6000000000001
1,0,0,0,1,1,0,19.75,19.75,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,19.75,1,19.75
1,1,0,0,71,0,1,56.45,3985.35,0,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,True,False,56.131690140845066,4,4007.9500000000003
0,0,0,0,13,1,1,85.95,1215.65,0,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,93.51153846153846,2,1117.3500000000001
0,0,1,1,25,0,1,58.6,1502.65,1,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,60.106,5,1465.0
1,0,0,0,67,1,0,50.55,3260.1,0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,48.65820895522388,2,3386.85
1,0,0,0,1,0,1,35.45,35.45,1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,35.45,1,35.45
1,0,0,0,2,1,0,44.35,81.25,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,40.625,1,88.7
0,0,0,0,43,1,1,25.7,1188.2,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,27.632558139534886,1,1105.1
0,0,0,0,23,1,1,75.0,1778.5,0,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,77.32608695652173,2,1725.0
0,0,1,1,64,1,0,20.2,1277.75,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,19.96484375,1,1292.8
1,0,0,1,57,1,1,19.6,1170.55,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,20.5359649122807,1,1117.2
0,1,1,0,1,1,1,70.45,70.45,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,70.45,1,70.45
0,1,1,1,72,1,1,88.05,6425.65,0,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,89.24513888888889,7,6339.599999999999
0,0,0,0,8,1,0,71.15,563.65,1,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,70.45625,4,569.2
0,0,1,0,61,1,1,101.05,5971.25,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,97.88934426229508,4,6164.05
1,0,0,0,64,1,1,84.3,5289.05,0,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,82.64140625,3,5395.2
1,1,1,0,71,1,0,23.95,1756.2,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,24.735211267605635,1,1700.45
0,0,1,1,65,1,1,99.05,6416.7,0,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,98.71846153846154,5,6438.25
1,0,0,0,3,1,0,19.6,61.35,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,20.45,1,58.800000000000004
1,0,0,0,1,1,1,45.65,45.65,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,45.65,1,45.65
1,0,0,1,30,1,0,64.5,1929.95,0,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,64.33166666666666,4,1935.0
1,0,1,1,15,1,1,69.5,1071.4,0,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,71.42666666666668,5,1042.5
0,0,1,1,8,1,1,68.55,564.35,0,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,70.54375,4,548.4
1,0,0,0,7,1,0,95.0,655.5,1,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,93.64285714285714,3,665.0
0,0,1,1,70,1,1,108.15,7930.55,0,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,True,False,True,False,False,113.29357142857143,6,7570.5
1,0,1,1,62,1,0,86.1,5215.25,0,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,84.11693548387096,7,5338.2
0,0,1,1,6,1,0,19.7,113.5,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,18.916666666666668,1,118.19999999999999
0,0,1,1,14,1,1,80.9,1152.8,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,82.34285714285714,2,1132.6000000000001
0,0,0,0,22,1,1,84.15,1821.95,0,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,82.81590909090909,2,1851.3000000000002
1,0,1,1,22,1,0,20.15,419.9,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,19.086363636363636,1,443.29999999999995
1,0,1,1,16,1,0,64.25,1024.0,0,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,64.0,4,1028.0
1,0,0,0,10,1,0,25.7,251.6,0,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,25.16,1,257.0
0,0,0,1,13,1,1,56.0,764.55,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,58.81153846153846,3,728.0
0,0,1,0,20,1,0,82.4,1592.35,1,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,79.61749999999999,2,1648.0
0,0,0,0,2,1,1,69.7,135.2,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,67.6,1,139.4
1,0,0,0,53,1,1,73.9,3958.25,0,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,74.68396226415095,5,3916.7000000000003
